Date,Value
2017-05-01,968.0
2017-06-01,937.0
2017-07-01,968.0
2017-08-01,968.0
2017-09-01,937.0
2017-10-01,968.0
2017-11-01,937.0
2017-12-01,968.0
2018-01-01,905.0
2018-02-01,817.0
2018-03-01,905.0
2018-04-01,876.0
2018-05-01,905.0
2018-06-01,876.0
2018-07-01,905.0
2018-08-01,905.0
2018-09-01,876.0
2018-10-01,905.0
2018-11-01,876.0
2018-12-01,905.0
2019-01-01,931.0
2019-02-01,841.0
2019-03-01,931.0
2019-04-01,901.0
2019-05-01,931.0
2019-06-01,901.0
2019-07-01,931.0
2019-08-01,931.0
2019-09-01,901.0
2019-10-01,931.0
2019-11-01,901.0
2019-12-01,931.0
2020-01-01,818.0
2020-02-01,765.0
2020-03-01,818.0
2020-04-01,792.0
2020-05-01,818.0
2020-06-01,792.0
2020-07-01,818.0
2020-08-01,818.0
2020-09-01,792.0
2020-10-01,818.0
2020-11-01,792.0
2020-12-01,818.0
2021-01-01,824.0
2021-02-01,745.0
2021-03-01,824.0
2021-04-01,798.0
2021-05-01,824.0
2021-06-01,798.0
2021-07-01,824.0
2021-08-01,824.0
2021-09-01,798.0
2021-10-01,824.0
2021-11-01,798.0
2021-12-01,824.0
2022-01-01,802.0
2022-02-01,724.0
2022-03-01,802.0
2022-04-01,776.0
2022-05-01,802.0
2022-06-01,776.0
2022-07-01,802.0
2022-08-01,802.0
2022-09-01,776.0
2022-10-01,802.0
2022-11-01,776.0
2022-12-01,802.0
2023-01-01,708.0
2023-02-01,640.0
2023-03-01,708.0
2023-04-01,685.0
2023-05-01,708.0
2023-06-01,685.0
2023-07-01,708.0
2023-08-01,708.0
2023-09-01,685.0
2023-10-01,708.0
2023-11-01,685.0
2023-12-01,708.0
2024-01-01,748.0
2024-02-01,700.0
2024-03-01,748.0
2024-04-01,724.0
2024-05-01,748.0
2024-06-01,724.0
2024-07-01,748.0
2024-08-01,748.0
2024-09-01,724.0
2024-10-01,748.0
2024-11-01,724.0
2024-12-01,748.0
2025-01-01,
2025-02-01,
2025-03-01,
2025-04-01,
2025-05-01,
2025-06-01,
2025-07-01,
2025-08-01,
2025-09-01,
2025-10-01,
2025-11-01,
2025-12-01,
2026-01-01,
2026-02-01,
